"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GRC","CPI","TOT","AGRWTH","M","2023-11",3.029275,
"HUN","CPI","TOT","AGRWTH","M","2021-10",6.5,
"HUN","CPI","TOT","AGRWTH","M","2021-11",7.4,
"HUN","CPI","TOT","AGRWTH","M","2021-12",7.4,
"HUN","CPI","TOT","AGRWTH","M","2022-01",7.9,
"HUN","CPI","TOT","AGRWTH","M","2022-02",8.3,
"HUN","CPI","TOT","AGRWTH","M","2022-03",8.5,
"HUN","CPI","TOT","AGRWTH","M","2022-04",9.5,
"HUN","CPI","TOT","AGRWTH","M","2022-05",10.7,
"HUN","CPI","TOT","AGRWTH","M","2022-06",11.7,
"HUN","CPI","TOT","AGRWTH","M","2022-07",13.7,
"HUN","CPI","TOT","AGRWTH","M","2022-08",15.6,
"HUN","CPI","TOT","AGRWTH","M","2022-09",20.1,
"HUN","CPI","TOT","AGRWTH","M","2022-10",21.1,
"HUN","CPI","TOT","AGRWTH","M","2022-11",22.5,
"HUN","CPI","TOT","AGRWTH","M","2022-12",24.5,
"HUN","CPI","TOT","AGRWTH","M","2023-01",25.7,
"HUN","CPI","TOT","AGRWTH","M","2023-02",25.4,
"HUN","CPI","TOT","AGRWTH","M","2023-03",25.2,
"HUN","CPI","TOT","AGRWTH","M","2023-04",24,
"HUN","CPI","TOT","AGRWTH","M","2023-05",21.5,
"HUN","CPI","TOT","AGRWTH","M","2023-06",20.1,
"HUN","CPI","TOT","AGRWTH","M","2023-07",17.6,
"HUN","CPI","TOT","AGRWTH","M","2023-08",16.4,
"HUN","CPI","TOT","AGRWTH","M","2023-09",12.2,
"HUN","CPI","TOT","AGRWTH","M","2023-10",9.9,
"HUN","CPI","TOT","AGRWTH","M","2023-11",7.9,
"ISL","CPI","TOT","AGRWTH","M","2021-10",4.537301,
"ISL","CPI","TOT","AGRWTH","M","2021-11",4.843696,
"ISL","CPI","TOT","AGRWTH","M","2021-12",5.111876,
"ISL","CPI","TOT","AGRWTH","M","2022-01",5.684166,
"ISL","CPI","TOT","AGRWTH","M","2022-02",6.187761,
"ISL","CPI","TOT","AGRWTH","M","2022-03",6.66674,
"ISL","CPI","TOT","AGRWTH","M","2022-04",7.23057,
"ISL","CPI","TOT","AGRWTH","M","2022-05",7.589962,
"ISL","CPI","TOT","AGRWTH","M","2022-06",8.818589,
"ISL","CPI","TOT","AGRWTH","M","2022-07",9.929646,
"ISL","CPI","TOT","AGRWTH","M","2022-08",9.735205,
"ISL","CPI","TOT","AGRWTH","M","2022-09",9.338311,
"ISL","CPI","TOT","AGRWTH","M","2022-10",9.405343,
"ISL","CPI","TOT","AGRWTH","M","2022-11",9.332962,
"ISL","CPI","TOT","AGRWTH","M","2022-12",9.55474,
"ISL","CPI","TOT","AGRWTH","M","2023-01",9.942731,
"ISL","CPI","TOT","AGRWTH","M","2023-02",10.19566,
"ISL","CPI","TOT","AGRWTH","M","2023-03",9.808475,
"ISL","CPI","TOT","AGRWTH","M","2023-04",9.889362,
"ISL","CPI","TOT","AGRWTH","M","2023-05",9.467032,
"ISL","CPI","TOT","AGRWTH","M","2023-06",8.873184,
"ISL","CPI","TOT","AGRWTH","M","2023-07",7.646713,
"ISL","CPI","TOT","AGRWTH","M","2023-08",7.694613,
"ISL","CPI","TOT","AGRWTH","M","2023-09",7.963643,
"ISL","CPI","TOT","AGRWTH","M","2023-10",7.896317,
"ISL","CPI","TOT","AGRWTH","M","2023-11",8.01217,
"IRL","CPI","TOT","AGRWTH","M","2021-10",5.059524,
"IRL","CPI","TOT","AGRWTH","M","2021-11",5.341246,
"IRL","CPI","TOT","AGRWTH","M","2021-12",5.522683,
"IRL","CPI","TOT","AGRWTH","M","2022-01",5.024631,
"IRL","CPI","TOT","AGRWTH","M","2022-02",5.593719,
"IRL","CPI","TOT","AGRWTH","M","2022-03",6.718598,
"IRL","CPI","TOT","AGRWTH","M","2022-04",6.96325,
"IRL","CPI","TOT","AGRWTH","M","2022-05",7.826087,
"IRL","CPI","TOT","AGRWTH","M","2022-06",9.06461,
"IRL","CPI","TOT","AGRWTH","M","2022-07",9.12584,
"IRL","CPI","TOT","AGRWTH","M","2022-08",8.6915,
"IRL","CPI","TOT","AGRWTH","M","2022-09",8.174905,
"IRL","CPI","TOT","AGRWTH","M","2022-10",9.159584,
"IRL","CPI","TOT","AGRWTH","M","2022-11",8.920188,
"IRL","CPI","TOT","AGRWTH","M","2022-12",8.224299,
"IRL","CPI","TOT","AGRWTH","M","2023-01",7.786116,
"IRL","CPI","TOT","AGRWTH","M","2023-02",8.457249,
"IRL","CPI","TOT","AGRWTH","M","2023-03",7.664234,
"IRL","CPI","TOT","AGRWTH","M","2023-04",7.233273,
"IRL","CPI","TOT","AGRWTH","M","2023-05",6.630825,
"IRL","CPI","TOT","AGRWTH","M","2023-06",6.100796,
"IRL","CPI","TOT","AGRWTH","M","2023-07",5.809859,
"IRL","CPI","TOT","AGRWTH","M","2023-08",6.32689,
"IRL","CPI","TOT","AGRWTH","M","2023-09",6.414763,
"IRL","CPI","TOT","AGRWTH","M","2023-10",5.103806,
"ITA","CPI","TOT","AGRWTH","M","2021-10",3.02439,
"ITA","CPI","TOT","AGRWTH","M","2021-11",3.710938,
"ITA","CPI","TOT","AGRWTH","M","2021-12",3.898635,
"ITA","CPI","TOT","AGRWTH","M","2022-01",4.840271,
"ITA","CPI","TOT","AGRWTH","M","2022-02",5.705996,
"ITA","CPI","TOT","AGRWTH","M","2022-03",6.460945,
"ITA","CPI","TOT","AGRWTH","M","2022-04",5.955812,
"ITA","CPI","TOT","AGRWTH","M","2022-05",6.820365,
"ITA","CPI","TOT","AGRWTH","M","2022-06",7.965451,
"ITA","CPI","TOT","AGRWTH","M","2022-07",7.927412,
"ITA","CPI","TOT","AGRWTH","M","2022-08",8.372978,
"ITA","CPI","TOT","AGRWTH","M","2022-09",8.865586,
"ITA","CPI","TOT","AGRWTH","M","2022-10",11.83712,
"ITA","CPI","TOT","AGRWTH","M","2022-11",11.77024,
"ITA","CPI","TOT","AGRWTH","M","2022-12",11.63227,
"ITA","CPI","TOT","AGRWTH","M","2023-01",9.9723,
"ITA","CPI","TOT","AGRWTH","M","2023-02",9.149131,
"ITA","CPI","TOT","AGRWTH","M","2023-03",7.608696,
"ITA","CPI","TOT","AGRWTH","M","2023-04",8.159565,
"ITA","CPI","TOT","AGRWTH","M","2023-05",7.643885,
"ITA","CPI","TOT","AGRWTH","M","2023-06",6.4,
"ITA","CPI","TOT","AGRWTH","M","2023-07",5.929204,
"ITA","CPI","TOT","AGRWTH","M","2023-08",5.443371,
"ITA","CPI","TOT","AGRWTH","M","2023-09",5.341506,
"ITA","CPI","TOT","AGRWTH","M","2023-10",1.69348,
"JPN","CPI","TOT","AGRWTH","M","2021-10",0.1,
"JPN","CPI","TOT","AGRWTH","M","2021-11",0.6,
"JPN","CPI","TOT","AGRWTH","M","2021-12",0.8,
"JPN","CPI","TOT","AGRWTH","M","2022-01",0.5,
"JPN","CPI","TOT","AGRWTH","M","2022-02",0.9,
"JPN","CPI","TOT","AGRWTH","M","2022-03",1.2,
"JPN","CPI","TOT","AGRWTH","M","2022-04",2.5,
"JPN","CPI","TOT","AGRWTH","M","2022-05",2.5,
"JPN","CPI","TOT","AGRWTH","M","2022-06",2.4,
"JPN","CPI","TOT","AGRWTH","M","2022-07",2.6,
"JPN","CPI","TOT","AGRWTH","M","2022-08",3,
"JPN","CPI","TOT","AGRWTH","M","2022-09",3,
"JPN","CPI","TOT","AGRWTH","M","2022-10",3.7,
"JPN","CPI","TOT","AGRWTH","M","2022-11",3.8,
"JPN","CPI","TOT","AGRWTH","M","2022-12",4,
"JPN","CPI","TOT","AGRWTH","M","2023-01",4.3,
"JPN","CPI","TOT","AGRWTH","M","2023-02",3.3,
"JPN","CPI","TOT","AGRWTH","M","2023-03",3.2,
"JPN","CPI","TOT","AGRWTH","M","2023-04",3.5,
"JPN","CPI","TOT","AGRWTH","M","2023-05",3.2,
"JPN","CPI","TOT","AGRWTH","M","2023-06",3.3,
"JPN","CPI","TOT","AGRWTH","M","2023-07",3.3,
"JPN","CPI","TOT","AGRWTH","M","2023-08",3.2,
"JPN","CPI","TOT","AGRWTH","M","2023-09",3,
"JPN","CPI","TOT","AGRWTH","M","2023-10",3.3,
"KOR","CPI","TOT","AGRWTH","M","2021-10",3.164304,
"KOR","CPI","TOT","AGRWTH","M","2021-11",3.776601,
"KOR","CPI","TOT","AGRWTH","M","2021-12",3.697797,
"KOR","CPI","TOT","AGRWTH","M","2022-01",3.612431,
"KOR","CPI","TOT","AGRWTH","M","2022-02",3.662138,
"KOR","CPI","TOT","AGRWTH","M","2022-03",4.143755,
"KOR","CPI","TOT","AGRWTH","M","2022-04",4.775446,
"KOR","CPI","TOT","AGRWTH","M","2022-05",5.399314,
"KOR","CPI","TOT","AGRWTH","M","2022-06",6.046056,
"KOR","CPI","TOT","AGRWTH","M","2022-07",6.336789,
"KOR","CPI","TOT","AGRWTH","M","2022-08",5.712895,
"KOR","CPI","TOT","AGRWTH","M","2022-09",5.583018,
"KOR","CPI","TOT","AGRWTH","M","2022-10",5.670053,
"KOR","CPI","TOT","AGRWTH","M","2022-11",5.03514,
"KOR","CPI","TOT","AGRWTH","M","2022-12",5.036524,
"KOR","CPI","TOT","AGRWTH","M","2023-01",5.167638,
"KOR","CPI","TOT","AGRWTH","M","2023-02",4.824311,
"KOR","CPI","TOT","AGRWTH","M","2023-03",4.242881,
"KOR","CPI","TOT","AGRWTH","M","2023-04",3.696771,
"KOR","CPI","TOT","AGRWTH","M","2023-05",3.319078,
"KOR","CPI","TOT","AGRWTH","M","2023-06",2.679727,
"KOR","CPI","TOT","AGRWTH","M","2023-07",2.262277,
"KOR","CPI","TOT","AGRWTH","M","2023-08",3.415577,
"KOR","CPI","TOT","AGRWTH","M","2023-09",3.727164,
"KOR","CPI","TOT","AGRWTH","M","2023-10",3.809175,
"KOR","CPI","TOT","AGRWTH","M","2023-11",3.336389,
"LUX","CPI","TOT","AGRWTH","M","2021-10",3.621353,
"LUX","CPI","TOT","AGRWTH","M","2021-11",4.521952,
"LUX","CPI","TOT","AGRWTH","M","2021-12",4.14362,
"LUX","CPI","TOT","AGRWTH","M","2022-01",3.576085,
"LUX","CPI","TOT","AGRWTH","M","2022-02",6.564141,
"LUX","CPI","TOT","AGRWTH","M","2022-03",6.140189,
"LUX","CPI","TOT","AGRWTH","M","2022-04",6.959978,
"LUX","CPI","TOT","AGRWTH","M","2022-05",6.792627,
"LUX","CPI","TOT","AGRWTH","M","2022-06",7.425469,
"LUX","CPI","TOT","AGRWTH","M","2022-07",6.7615,
"LUX","CPI","TOT","AGRWTH","M","2022-08",6.760589,
"LUX","CPI","TOT","AGRWTH","M","2022-09",6.878597,
"LUX","CPI","TOT","AGRWTH","M","2022-10",6.85378,
"LUX","CPI","TOT","AGRWTH","M","2022-11",5.936319,
"LUX","CPI","TOT","AGRWTH","M","2022-12",5.374021,
"LUX","CPI","TOT","AGRWTH","M","2023-01",4.828269,
"LUX","CPI","TOT","AGRWTH","M","2023-02",4.311862,
"LUX","CPI","TOT","AGRWTH","M","2023-03",3.598188,
"LUX","CPI","TOT","AGRWTH","M","2023-04",3.689941,
"LUX","CPI","TOT","AGRWTH","M","2023-05",3.624752,
"LUX","CPI","TOT","AGRWTH","M","2023-06",3.17773,
"LUX","CPI","TOT","AGRWTH","M","2023-07",3.746323,
"LUX","CPI","TOT","AGRWTH","M","2023-08",4.241645,
"LUX","CPI","TOT","AGRWTH","M","2023-09",4.051282,
"LUX","CPI","TOT","AGRWTH","M","2023-10",3.160481,
"LUX","CPI","TOT","AGRWTH","M","2023-11",3.031075,
"MEX","CPI","TOT","AGRWTH","M","2021-10",6.239542,
"MEX","CPI","TOT","AGRWTH","M","2021-11",7.374881,
"MEX","CPI","TOT","AGRWTH","M","2021-12",7.355108,
"MEX","CPI","TOT","AGRWTH","M","2022-01",7.070139,
"MEX","CPI","TOT","AGRWTH","M","2022-02",7.279974,
"MEX","CPI","TOT","AGRWTH","M","2022-03",7.453677,
"MEX","CPI","TOT","AGRWTH","M","2022-04",7.682503,
"MEX","CPI","TOT","AGRWTH","M","2022-05",7.652621,
"MEX","CPI","TOT","AGRWTH","M","2022-06",7.986339,
"MEX","CPI","TOT","AGRWTH","M","2022-07",8.150806,
"MEX","CPI","TOT","AGRWTH","M","2022-08",8.695423,
"MEX","CPI","TOT","AGRWTH","M","2022-09",8.69975,
"MEX","CPI","TOT","AGRWTH","M","2022-10",8.406816,
"MEX","CPI","TOT","AGRWTH","M","2022-11",7.796619,
